"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Group,Unprofessional,1,photo,Workplace Common Area
ACC,Group,Unprofessional,1,book with unprofessional humor,Workplace Common Area
ACC,Group,Unprofessional,1,coin,Workplace Common Area
ACC,Squadron,Unprofessional,1,photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,photo,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,coffee cup,Workplace Common Area
ACC,Squadron,Unprofessional,1,inappropriate cartoon,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,images/language on display item,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,5,foreign tv commercials,Share drive
ACC,Squadron,Unprofessional,15,Inappropriate cartoons,Workplace Common Area
ACC,Squadron,Unprofessional,1,photo,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,4,magazine,latrine
ACC,Squadron,Inappropriate/Offensive,2,lewd photos,Workplace Common Area
ACC,Squadron,Unprofessional,1,decal image of a female,Workplace Common Area
ACC,Squadron,Unprofessional,2,log books with unprofessional comments,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Unprofessional,1,inappropriate photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,inappropriate photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,inappropriate photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,joke,Workplace Common Area
ACC,Squadron,Unprofessional,2,unprofessional cartoon,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazines,latrine
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,lewd photo,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,insensitive photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,photo,Workplace Common Area
ACC,Squadron,Unprofessional,5,photos,Share drive
ACC,Squadron,Unprofessional,2,r-rated movies,Share drive
ACC,Squadron,Unprofessional,11,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,comic book,Workplace Common Area
ACC,Squadron,Unprofessional,1,coffee cup with unprofessional saying,Workplace Common Area
ACC,Squadron,Unprofessional,20,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,joke poster,Workplace Common Area
ACC,Squadron,Unprofessional,3,"""mistake"" awards",Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,10,song books,Workplace Common Area
ACC,Squadron,Unprofessional,4,questionable pictures,Workplace Common Area
ACC,Squadron,Unprofessional,3,de-motivation signs,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,christmas party sign,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,R-rated movies,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,unprofessional lamp,Workplace Common Area
ACC,Squadron,Unprofessional,30,bottles of alcohol,Workplace Common Area
ACC,Squadron,Unprofessional,1,beer bong,Workplace Common Area
ACC,Squadron,Unprofessional,12,shot glasses,Workplace Common Area
ACC,Squadron,Unprofessional,3,beer mugs,Workplace Common Area
ACC,Squadron,Unprofessional,1,cork screw,Workplace Common Area
ACC,Squadron,Unprofessional,2,beer tap toppers,Workplace Common Area
ACC,Squadron,Unprofessional,2,beer pitchers,Workplace Common Area
ACC,Squadron,Unprofessional,1,beer display,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,photo,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,motorcycle jacket with offensive patch,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,unprofessional saying,Workplace Common Area
ACC,Squadron,Unprofessional,1,Doofer book,Workplace Common Area
ACC,Squadron,Unprofessional,1,T-shirt,Workplace Common Area
ACC,Squadron,Unprofessional,12,suggestive patches,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,10,images containing offensive gestures,Workplace Common Area
ACC,Squadron,Unprofessional,7,bottles of alcohol,Workplace Common Area
ACC,Squadron,Unprofessional,1,beer bottle cap and shot glass collection,Workplace Common Area
ACC,Squadron,Unprofessional,1,saying with offensive language,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Staff,Unprofessional,1,desktop display,Workplace Common Area
ACC,Staff,Unprofessional,1,calendar,Workplace Common Area
ACC,Staff,Unprofessional,1,Screen saver,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,Nose art,Workplace Common Area
ACC,Squadron,Unprofessional,3,autographed photo,Workplace Common Area
ACC,Squadron,Unprofessional,3,saying with offensive language,Workplace Common Area
ACC,Squadron,Unprofessional,1,pictures,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Unprofessional,1,calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,offensive toy,Workplace Common Area
ACC,Squadron,Unprofessional,1,inappropriate menu,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate sticker,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,profanity posters,Workplace Common Area
ACC,Squadron,Unprofessional,2,doofer books,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,5,inappropriate decorative wall hangings,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,profanity posters,Workplace Common Area
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area
ACC,Squadron,Unprofessional,602,unprofessional photos and cartoons,Share drive
ACC,Squadron,Unprofessional,117,unprofessional computer wallpaper,Share drive
ACC,Squadron,Unprofessional,3,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,Nose Art Poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,playing cards,Workplace Common Area
ACC,Squadron,Unprofessional,1,calendar,Workplace Common Area
ACC,Squadron,Unprofessional,1,Book with persuasive phrases,Workplace Common Area
ACC,Squadron,Unprofessional,15,questionable pictures,Share drive
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,magnet,Workplace Common Area
ACC,Squadron,Unprofessional,3,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,r-rated movies,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Coin with vulgar saying,Workplace Common Area
ACC,Squadron,Unprofessional,1,desktop backround,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,4,offensive posters,Workplace Common Area
ACC,Squadron,Unprofessional,1,handwritten joke,Workplace Common Area
ACC,Squadron,Unprofessional,1,desktop backround,Workplace Common Area
ACC,Squadron,Unprofessional,3,Magazines,Workplace Common Area
ACC,Squadron,Unprofessional,4,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,3,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Tattoo flyer,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,drawing with profanity,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,stickers with profanity,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,profanity in a binder,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,profanity written on a phone,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,5,vulgar images in log books,Workplace Common Area
ACC,Squadron,Unprofessional,3,page dividers,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,movie,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,inappropriate DVD series,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,11,pictures that conveyed inappropriate sentiment,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,2,Catalogs,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,Wall art with profanity,Workplace Common Area
ACC,Squadron,Unprofessional,1,desktop background,Workplace Common Area
ACC,Squadron,Unprofessional,1,folder with models,Share drive
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Unprofessional,1,suggestive plaque,Workplace Common Area
ACC,Squadron,Unprofessional,2,suggestive photos,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,inappropriate sign,Workplace Common Area
ACC,Squadron,Unprofessional,1,aircraft tail art,Workplace Common Area
ACC,Squadron,Unprofessional,1,sign out board with unprofessional content,Workplace Common Area
ACC,Squadron,Unprofessional,1,bobble head,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,book,Workplace Common Area
ACC,Squadron,Unprofessional,1,picture,Workplace Common Area
ACC,Squadron,Unprofessional,19,photos,share drive
ACC,Squadron,Unprofessional,7,photos,share drive
ACC,Squadron,Inappropriate/Offensive,2,inappropriate videos,share drive
ACC,Squadron,Inappropriate/Offensive,1,inappropriate videos,share drive
ACC,Squadron,Inappropriate/Offensive,7,inappropriate videos,share drive
ACC,Squadron,Inappropriate/Offensive,1,inappropriate videos,share drive
ACC,Squadron,Inappropriate/Offensive,10,inappropriate songs,share drive
ACC,Squadron,Inappropriate/Offensive,17,inappropriate songs,share drive
ACC,Squadron,Unprofessional,56,photos,Share drive
ACC,Squadron,Unprofessional,1,photos,Share drive
ACC,Squadron,Unprofessional,91,photos,Share drive
ACC,Squadron,Unprofessional,29,unprofessional posters,Workplace Common Area
